,Designer Names,Plays,Number of Plays,Tony?,Number of Tony Nominations/Wins
238,peter hunt,"['the scarlet pimpernel', 'bully', 'goodtime charley', 'scratch', 'georgy', '', 'nol cowards sweet potato', 'annie get your gun', 'the wayward stork', 'tambourines to glory']",10,0,0
239,christopher ironside,['a midsummer nights dream'],1,0,0
240,robin ironside,['a midsummer nights dream'],1,0,0
241,eiko ishioka,"['spider man turn off the dark', 'david copperfield dreams and nightmares', 'm butterfly']",3,1,1
242,walter israel,"['the red mill', 'song of norway']",2,0,0
243,teiji ito,"['voices', 'leda had a little swan', 'one flew over the cuckoos nest']",3,0,0
244,abe jacob,"['rain', 'the gershwins fascinating rhythm', 'the flowering peach', 'hizzoner', 'black and blue', 'late nite comic', 'les misrables', 'raggedy ann', 'big deal', 'leader of the pack', 'merlin', 'seven brides for seven brothers', 'little johnny jones', 'woman of the year', 'broadway follies', 'your arms too short to box with god', 'evita', 'shirley bassey', 'gilda radner  live from new york', 'the madwoman of central park west', 'zoot suit', 'a broadway musical', 'dancin', 'stages', 'timbuktu', 'the act', 'hair', 'beatlemania', 'rockabye hamlet', 'a chorus line', 'chicago', 'doctor jazz', 'the rocky horror show', 'mack mabel', 'rachael lily rosenbloom and dont you ever forget it', 'cyrano', 'lysistrata', 'much ado about nothing', 'pippin', 'jesus christ superstar', 'hair']",41,0,0
245,sally jacobs,"['a midsummer nights dream', 'the persecution and assassination of marat as performed by the inmates of the asylum of charenton under the direction of the marquis de sade']",2,1,1
246,bob james,"['all my sons', 'impressionism', 'the invention of love', 'the little foxes', 'two shakespearean actors', 'edward ii', 'the selling of the president', 'pantagleize']",8,0,0
247,neil peter jampolis,"['street corner symphony', 'love thy neighbor', 'jackie mason politically incorrect', 'mixed emotions', 'camelot', 'jackie mason brand new', 'the merchant of venice', 'sid caesar company', 'orpheus descending', 'black and blue', 'jackie masons the world according to me', 'jackie masons the world according to me', 'into the light', 'the search for signs of intelligent life in the universe', 'kipling', 'the life and adventures of nicholas nickleby', 'the american clock', 'harold and maude', 'night and day', 'knockout', 'g r point', 'comedy with music', 'otherwise engaged', 'the innocents', 'raphael in concert with the voices of new york', 'johnny mathis and the miracles', 'sherlock holmes', 'anthony newley  henry mancini', 'andy williams with michel legrand', 'brief lives', 'crown matrimonial', 'emperor henry iv', 'warp', 'let me hear you smile', 'butley', 'dont bother me i cant cope', 'wise child', 'wild and wonderful', 'to live another summer to pass another winter', 'earl of ruston', 'les blancs', 'borstal boy']",42,0,0
248,dorothy jeakins,"['my mother my father and me', 'a taste of honey', 'cue for passion', 'the world of suzie wong', 'winesburg ohio', 'the taming of the shrew', 'major barbara', 'too late the phalarope', 'king lear', 'affairs of state']",10,0,0
249,david jenkins,"['james joyces the dead', 'the herbal bed', 'taking sides', 'the shadow box', 'hedda gabler', 'no mans land', 'candida', 'the master builder', 'a little hotel on the side', 'two shakespearean actors', 'the crucible', 'accomplice', 'welcome to the club', 'sherlocks last case', 'stardust', 'stepping out', 'total abandon', 'the queen and the rebels', 'special occasions', 'piaf', 'i ought to be in pictures', 'the elephant man', 'strangers', 'saint joan', 'checking out', 'rodgers hart', 'the freedom of the city', 'the changing room', 'zorba']",29,1,2
250,george jenkins,"['sly fox', 'sly fox', 'night watch', 'the only game in town', 'wait until dark', 'the royal hunt of the sun', 'generation', 'catch me if you can', 'jennie', 'step on a crack', 'a thousand clowns', '', 'critics choice', 'one more river', 'jollys progress', 'the miracle worker', 'tall story', 'cue for passion', 'once more with feeling', 'two for the seesaw', 'rumple', 'the happiest millionaire', 'too late the phalarope', 'the desk set', 'ankles aweigh', 'the bad seed', 'the immoralist', 'gently does it', 'touchstone', 'three wishes for jamie', 'bell book and candle', 'the curious savage', 'lost in the stars', 'time for elizabeth', 'tonight at', 'tonight at', 'the french touch', 'strange fruit', 'are you with it', 'memphis bound', 'common ground', 'dark of the moon', 'i remember mama', 'allah be praised', 'mexican hayride', 'early to bed', 'the land is bright', 'the wookey', 'watch on the rhine', 'stars in your eyes', 'the boys from syracuse']",51,1,4
251,albert r johnson,"['what did we do wrong', 'night life', 'cloud', 'jamaica', 'stockade', 'shuffle along', 'of thee i sing', 'the chase', 'fancy meeting you again', 'pardon our french', 'two blind mice', 'dear judas', 'the girl from nantucket', 'live life again', 'sing out sweet land', 'my dear public', 'proof thro the night', 'the skin of our teeth', 'crazy with the heat', 'crazy with the heat', 'john henry', 'george whites scandals', 'great lady', 'leave it to me', 'you never know', 'between the devil', 'jumbo', 'the great waltz', 'union pacific', 'revenge with music', 'the great waltz', 'life begins at', 'union pacific', 'ziegfeld follies of', 'let em eat cake', 'as thousands cheer', 'face the music', 'the mad hopes', 'americana', 'face the music', 'the band wagon', 'threes a crowd']",42,0,0
252,bernard johnson,"['waltz of the stork', 'eubie', 'guys and dolls', 'bubbling brown sugar', 'raisin', 'dont play us cheap', 'aint supposed to die a natural death']",7,0,0
253,anna hill johnstone,"['a warm body', 'the investigation', 'but for whom charlie', 'after the fall', 'one more river', 'triple play', 'sweet bird of youth', 'whoop up', 'the man in the dog suit', 'the egghead', 'the sin of pat muldoon', 'the hidden river', 'the tender trap', 'all summer long', 'tea and sympathy', 'the childrens hour', 'flight into egypt', 'the autumn garden', 'bell book and candle', 'the country girl', 'the curious savage', 'lost in the stars', 'love life', 'for love or money', 'temper the wind', 'another part of the forest', 'show boat', 'i remember mama', 'strip for action', 'louisiana purchase', 'the american way']",31,0,0
254,disley jones,"['hms pinafore', 'the mikado']",2,0,0
255,robert edmond jones,"['the green pastures', 'the enchanted', 'the iceman cometh', 'lute song', 'othello', 'helen goes to troy', 'jackpot', 'othello', 'without love', 'love for love', 'romeo and juliet', 'juno and the paycock', 'kindred', 'summer night', 'the ballet caravan', 'susanna dont you cry', 'the devil and daniel webster', 'the philadelphia story', 'everywhere i roam', 'the seagull', 'othello', 'the green pastures', 'dark victory', 'the joyous season', 'mary of scotland', 'the green bay tree', 'ah wilderness', 'nine pine street', 'radio city music hall inaugural program', 'lucrece', 'camille', 'mourning becomes electra', 'roadside', 'the green pastures', 'children of darkness', 'see naples and die', 'holiday', 'the jest', 'the great god brown', 'the fountain', 'last night of don juan  the pilgrimage', 'love for love', 'outside looking in', 'love for love', 'michel auclair', 'patience', 'hedda gabler', 'welded', 'the spook sonata', 'hamlet', 'the claw', 'king richard iii', 'george washington', 'good luck sam', 'three plays for a negro theater', 'the man who married a dumb wife']",56,0,0
256,peter joseph,"['a joyful noise', 'catch me if you can']",2,0,0
257,philipp jung,"['mastergate', 'eastern standard', 'the madwoman of central park west']",3,0,0
258,peter kaczorowski,"['choir boy', 'american son', 'the parisian woman', 'sweat', 'our mothers brief affair', 'living on love', 'the country house', 'love letters', 'beautiful the carole king musical', 'waiting for godot', 'no mans land', 'the assembled parties', 'breakfast at tiffanys', 'nice work if you can get it', 'wit', 'the road to mecca', 'venus in fur', 'born yesterday', 'anything goes', 'that championship season', 'driving miss daisy', 'time stands still', 'a view from the bridge', 'waiting for godot', 'is he dead', 'young frankenstein', 'curtains', 'grey gardens', 'heartbreak house', 'the pajama game', 'seascape', 'a naked girl on the appian way', 'after the night and the music', 'whos afraid of virginia woolf', 'the rivals', 'twentieth century', 'wonderful town', 'anna in the tropics', 'the caretaker', 'master haroldand the boys', 'thou shalt not', 'the producers', 'the music man', 'contact', 'kiss me kate', 'the rainmaker', 'honour', 'ah wilderness', 'jackie', 'steel pier', 'the three sisters', 'company', 'the plays the thing', 'on the waterfront', 'picnic', 'she loves me', 'candida', 'the show off', 'a small family business', 'the homecoming']",60,0,0
259,nat karson,"['ballet ballads', 'a long way from home', 'the front page', 'nellie bly', 'a connecticut yankee', 'high kickers', 'keep off the grass', 'liliom', 'the hot mikado', 'roosty', 'journeyman', 'right this way', 'without warning', 'arms for venus', 'white man', 'macbeth', 'the hook up', 'calling all stars']",18,0,0
260,lawrence kasha,"['seven brides for seven brothers', 'woman of the year', 'no hard feelings', 'seesaw', 'inner city', 'fathers day', 'lovely ladies kind gentlemen', 'applause', 'hadrian vii', 'bajour', 'funny girl', 'she loves me', 'how to succeed in business without really trying', 'happy town', 'whoop up', 'lil abner', 'silk stockings']",17,0,0
261,michel kazan,"['', 'spoon river anthology', 'tchin tchin', 'come on strong', 'a gift of time', 'sail away', 'carnival', 'do re mi']",8,0,0
262,bill kellard,"['fool moon', 'fool moon', 'fool moon', 'sugar babies', 'sly fox', 'a chorus line']",6,0,0
263,orry kelly,"['show girl', 'the world of carl sandburg', 'scarlet sister mary', 'nina rosa', 'a wonderful night', 'george whites scandals', 'the street singer', 'music in may', 'boom boom', 'half a widow', 'padlocks of']",11,0,0
264,lindsay kemp,['flowers'],1,0,0
265,sean kenny,"['oliver', 'here are ladies', 'pickwick', 'oliver', 'the roar of the greasepaint  the smell of the crowd', 'oliver', 'stop the world  i want to get off']",7,1,2
266,carl kent,"['the desperate hours', 'leaf and bough', 'as we forgive our debtors', 'song of norway', 'career angel', 'peepshow', 'carmen jones', 'star and garter', 'banjo eyes', 'lets face it', 'crazy with the heat', 'crazy with the heat', 'tis of thee']",13,0,0
267,sheppard kerman,"['platinum', 'beatlemania', 'seesaw', 'cut of the axe', 'the sound of music', 'the great sebastians', 'tonight in samarkand', 'the prescott proposals']",8,0,0
268,leo kerz,"['children of the wind', 'dance of death', 'hidden stranger', 'rhinoceros', 'rhinoceros', 'moonbirds', 'hit the trail', 'whistlers grandmother', 'the sacred flame', 'edwina black', 'lost in the stars', 'the biggest thief in town', 'for heavens sake mother', 'bravo', 'me and molly', 'a long way from home', 'antony and cleopatra', 'music in my heart', 'open house', 'louisiana lady', 'heads or tails', 'little a', 'christopher blake', 'flamingo road', 'according to law  a strange play']",25,0,0
269,willa kim,"['victor  victoria', 'grease', 'tommy tune tonite', 'four baboons adoring the sun', 'the will rogers follies', 'legs diamond', 'the front page', 'long days journey into night', 'song and dance', 'sophisticated ladies', 'bosoms and neglect', 'dancin', 'goodtime charley', 'jumpers', 'lysistrata', 'operation sidewinder', 'hail scrawdyke', 'the office', 'malcolm', 'have i got a girl for you', 'gypsy', 'the music man', 'bells are ringing', 'mrs patterson', 'wonderful town', 'call me madam', 'the duchess misbehaves', 'are you with it', 'it happens on ice']",29,0,0
270,lawrence s king,"['south pacific', 'it had to be you', 'cheaters', 'the night of the tribades', 'dirty linen new found land', 'something old something new', 'me jack you jill', 'the ritz', 'bad habits', 'my sister my sister']",10,0,0
271,florence klotz,"['show boat', 'kiss of the spider woman', 'city of angels', 'roza', 'rags', 'jerrys girls', 'grind', 'peg', 'a dolls life', 'the little foxes', 'goodbye fidel', 'harold and maude', 'on the twentieth century', 'side by side by sondheim', 'legend', 'pacific overtures', 'dreyfus in rehearsal', 'a little night music', 'follies', 'norman is that you', 'paris is out', 'its a birdits a planeits superman', 'the best laid plans', 'mating dance', 'one by one', 'the owl and the pussycat', 'nobody loves an albatross', 'on an open roof', 'never too late', 'lord pengo', 'romulus', 'take her shes mine', 'the gay life', 'jerome robbins ballet usa', 'a call on kuprin', 'do re mi', 'invitation to a march', 'toys in the attic', 'a loss of roses', 'the sound of music', 'jb', 'flower drum song', 'jerome robbins ballet usa', 'time remembered', 'jamaica', 'carousel', 'orpheus descending', 'pipe dream', 'cat on a hot tin roof', 'silk stockings', 'carnival in flanders', 'my', 'wish you were here', 'of thee i sing', 'pal joey', 'two on the aisle', 'a tree grows in brooklyn', 'the king and i']",58,0,0
272,hilary knight,"['meet me in st louis', 'sugar babies', 'i love my wife', 'gypsy']",4,0,0
273,ralph koltai,"['my fair lady', 'carrie', 'pack of lies', 'cyrano de bergerac', 'much ado about nothing', 'as you like it', 'soldiers']",7,1,1
